허가일자,상호,설비용량(KW),설치행정시,설치지역,원동력종류,사업개시일,구분,데이터기준일자
2015.1.13,대현태양광발전소,499.8,서귀포시,상예동,태양광,2016.2.4,없음,2020.1.20
2013.1.4,더케이제주 호텔(주),94.24,제주시,삼도이동,태양광,2013.8.22,없음,2020.1.20
2018.3.26,덕수 태양광발전소,293.76,서귀포시,안덕면,태양광,2019.1.21,육상,2020.1.20
2013.11.29,덕천(DE-002)발전소,75,제주시,구좌읍,태양광,2015.8.11,없음,2020.1.20
2017.9.29,덕천리771발전소,98.42,제주시,구좌읍,태양광,2019.5.28,육상,2020.1.20
2014.12.4,도경태양광발전소,97.5,제주시,한경면,태양광,2017.9.5,없음,2020.1.20
2012.8.17,도련정수장 태양광발전소,215.8,제주시,도련일동,태양광,2013.9.3,없음,2020.1.20
2018.7.9,도송태양광발전소,197.02,제주시,한림읍,태양광,2019.1.30,육상,2020.1.20
2018.4.3,도순 태양광발전소,39.9,서귀포시,도순동,태양광,2019.4.5,육상,2020.1.20
2015.12.19,도원태양광발전소,98.8,서귀포시,대정읍,태양광,2016.11.4,없음,2020.1.20
2014.10.2,도일태양광발전소,99,제주시,구좌읍,태양광,2015.7.1,없음,2020.1.20
2013.6.27,도토리 태양광발전소,31.5,제주시,한림읍,태양광,2014.6.12,없음,2020.1.20
2014.12.9,동구태양광발전소,99,제주시,애월읍,태양광,2016.12.30,없음,2020.1.20
2016.12.12,동복리마을풍력발전소,2000,제주시,구좌읍,풍력,2017.12.1,없음,2020.1.20
2014.6.13,동복북촌풍력발전단지,30000,제주시,구좌읍,풍력,2015.8.1,없음,2020.1.20
2018.6.21,동선 태양광발전소,99.36,서귀포시,안덕면,태양광,2019.2.8,육상,2020.1.20
2017.1.31,동신이엔텍태양광발전소제주,704.32,제주시,구좌읍,태양광,2018.10.10,없음,2020.1.20
2014.6.30,동엽에너지,98,서귀포시,남원읍,태양광,2015.4.18,없음,2020.1.20
2014.10.14,동올레태양광발전소,83.3,제주시,구좌읍,태양광,2015.9.23,없음,2020.1.20
2014.12.4,동은태양광발전소,99,서귀포시,대정읍,태양광,2015.9.2,없음,2020.1.20
2013.9.17,동일리 노인복지회관 태양광발전소,9.95,서귀포시,대정읍,태양광,2014.1.3,없음,2020.1.20
2013.9.17,동일리 다목적회관 태양광발전소,9.95,서귀포시,대정읍,태양광,2014.1.3,없음,2020.1.20
2019.2.25,동일리 태양광발전소,263.07,서귀포시,대정읍,태양광,2019.8.13,육상,2020.1.20
2014.6.3,동일에스이피태양광발전소,99,서귀포시,표선면,태양광,2014.11.17,없음,2020.1.20
2014.12.14,동캐1호태양광발전소,99,서귀포시,대정읍,태양광,2016.3.24,없음,2020.1.20
2014.12.14,동캐2호태양광발전소,99,서귀포시,대정읍,태양광,2015.9.3,없음,2020.1.20
2009.2.5,동해쏠라파크,96,서귀포시,성산읍,태양광,2009.8.28,없음,2020.1.20
2018.7.23,동현햇빛 발전소,460.08,서귀포시,안덕면,태양광,2019.6.26,육상,2020.1.20
2013.12.31,동화태양광발전소,64.9,서귀포시,대정읍,태양광,2014.6.6,없음,2020.1.20
2013.12.10,동회천마을회(동회천 태양광발전소),413,제주시,회천동,태양광,2015.3.12,없음,2020.1.20
2017.12.4,동희태양광발전소,99.28,제주시,한경면,태양광,2018.10.22,육상,2020.1.20
2017.11.21,두강봉태양광발전소,299.2,제주시,한경면,태양광,2018.4.24,육상,2020.1.20
2017.9.29,두모리 1885 발전소,93.44,제주시,한경면,태양광,2019.5.14,육상,2020.1.20
2017.9.29,두모리 444 1호 발전소,97.09,제주시,한경면,태양광,2019.5.14,육상,2020.1.20
2017.9.29,두모리 444 2호 발전소,97.09,제주시,한경면,태양광,2019.5.14,지붕형,2020.1.20
2018.8.24,두못개태양광발전소,98.42,제주시,한경면,태양광,2019.8.12,육상,2020.1.20
2014.12.9,드림 태양광발전소,99,제주시,한경면,태양광,2017.7.28,없음,2020.1.20
2014.11.20,디파워태양광,98,서귀포시,성산읍,태양광,2018.12.31,없음,2020.1.20
2013.12.23,따라비태양광발전소,294,제주시,애월읍,태양광,2017.3.3,없음,2020.1.20
2018.9.19,라일 태양광발전소,998.64,서귀포시,남원읍,태양광,2019.7.9,육상,2020.1.20
2018.6.12,란 태양광발전소,197.02,서귀포시,대정읍,태양광,2019.1.31,육상,2020.1.20
2018.7.18,레드썬,99.36,제주시,조천읍,태양광,2019.3.4,육상,2020.1.20
2014.10.14,루시디티2호태양광발전소,949.76,제주시,구좌읍,태양광,2018.9.28,없음,2020.1.20
2018.6.18,리코태양광발전소,254.8,제주시,오등동,태양광,2019.3.11,육상,2020.1.20
2017.11.6,마루왓1호태양광발전소,99.28,제주시,한림읍,태양광,2018.4.24,육상,2020.1.20
2017.11.6,마루왓2호태양광발전소,99.28,제주시,한림읍,태양광,2018.12.20,육상,2020.1.20
2017.11.6,마루왓3호태양광발전소,99.28,제주시,한림읍,태양광,2018.4.24,육상,2020.1.20
2017.11.6,마루왓4호태양광발전소,99.28,제주시,한림읍,태양광,2018.4.24,육상,2020.1.20
2017.12.4,만주에너지 태양광발전소,990,제주시,조천읍,태양광,2019.1.8,육상,2020.1.20
2013.5.27,만풍1호 태양광발전소,95.4,서귀포시,남원읍,태양광,2014.12.15,없음,2020.1.20
2013.5.27,만풍2호 태양광발전소,95.4,서귀포시,남원읍,태양광,2014.12.15,없음,2020.1.20
2014.3.18,매고1호태양광발전소,99,제주시,한경면,태양광,2014.10.8,없음,2020.1.20
2017.9.1,명도햇빛발전소,494.6,제주시,봉개동,태양광,2018.1.25,육상,2020.1.20
2013.8.13,명승 태양광발전소,98,제주시,한림읍,태양광,2014.12.4,없음,2020.1.20
2014.10.29,명원태양광 2호,98,서귀포시,성산읍,태양광,2015.10.6,없음,2020.1.20
2014.10.29,명원태양광1호,98,서귀포시,성산읍,태양광,2015.10.6,없음,2020.1.20
2018.4.24,명원태양광발전소,99.16,제주시,한림읍,태양광,2019.12.24,육상,2020.1.20
2013.8.22,명월 태양광발전소,99,제주시,한림읍,태양광,2014.5.20,없음,2020.1.20
2014.9.2,명월3호태양광발전소,99,제주시,한림읍,태양광,2015.5.5,없음,2020.1.20
2014.3.11,명월리발전소1호기,99,제주시,한림읍,태양광,2017.12.20,없음,2020.1.20
2014.3.11,명월리발전소2호기,99,제주시,한림읍,태양광,2017.12.20,없음,2020.1.20
2017.10.20,명월태양광발전소,196.98,제주시,한림읍,태양광,2018.9.28,육상,2020.1.20
2014.12.14,명월햇빛1호 태양광발전소,99,제주시,한림읍,태양광,2015.5.5,없음,2020.1.20
2014.12.14,명월햇빛2호태양광발전소,99,제주시,한림읍,태양광,2019.4.8,없음,2020.1.20
